shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,Predrag Rajković,RCD Mallorca,€10.00m ,Serbia,"Aug 28, 2013","Aug 29, 2015",Red Star,M. Tel Aviv,2000000.0,3000000.0,LaLiga
12,Predrag Rajković,RCD Mallorca,€10.00m ,Serbia,"Jan 1, 2012","Aug 28, 2013",Jagodina,Red Star,300000.0,140000.0,LaLiga
12,Predrag Rajković,RCD Mallorca,€10.00m ,Serbia,,"Jan 1, 2012",Jagodina U19,Jagodina,,,LaLiga
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jun 30, 2020",,Torino,,,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 1, 2019","Jun 30, 2020",Standard Liège,Torino,725000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jun 30, 2019","Jul 1, 2019",Torino,Standard Liège,1200000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jan 31, 2019","Jun 30, 2019",Ascoli,Torino,1200000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jan 30, 2019","Jan 31, 2019",Torino,Ascoli,1800000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 6, 2018","Jan 30, 2019",SPAL,Torino,1800000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 1, 2017","Jul 6, 2018",Torino,SPAL,2000000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jan 1, 2016","Jul 1, 2017",Lechia Gdansk,Torino,1500000.0,2600000.0,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jun 30, 2015","Jan 1, 2016",Man Utd,Lechia Gdansk,750000.0,0.0,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 2, 2014","Jun 30, 2015",Vojvodina,Man Utd,750000.0,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 1, 2014","Jul 2, 2014",Man Utd,Vojvodina,,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Apr 2, 2014","Jul 1, 2014",Vojvodina,Man Utd,,1750000.0,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 1, 2013","Apr 2, 2014",Vojvodina II,Vojvodina,,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Jul 1, 2006","Jul 1, 2013",Vojvodina U19,Vojvodina II,,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,"Oct 5, 2004","Jul 1, 2006",GAK Youth,Vojvodina U19,,,Serie A
23,Vanja Milinković-Savić,Torino FC,€2.50m ,Serbia,,"Oct 5, 2004",Unknown,GAK Youth,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Jul 1, 2017",,Fiorentina,,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Jan 18, 2016","Jul 1, 2017",Partizan,Fiorentina,5000000.0,5500000.0,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Dec 31, 2015","Jan 18, 2016",Partizan U19,Partizan,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Aug 12, 2015","Dec 31, 2015",Teleoptik,Partizan U19,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Jul 1, 2014","Aug 12, 2015",Partizan U19,Teleoptik,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Jun 30, 2014","Jul 1, 2014",Partizan U17,Partizan U19,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,"Jul 1, 2013","Jun 30, 2014",Teleoptik U17,Partizan U17,,,Serie A
4,Nikola Milenković,ACF Fiorentina,€20.00m ,Serbia,,"Jul 1, 2013",Partizan U15,Teleoptik U17,,,Serie A
5,Miloš Veljković,SV Werder Bremen,€5.00m ,Serbia,"Feb 1, 2016",,Werder Bremen,,,,Bundesliga
